cluster	gloss
11	resembling or consisting of or embedded with long slender fragments of (especially) wood having sharp points / the direction, texture, or pattern of fibers found in wood or leather or stone or in a woven fabric / the feel of a surface or a fabric
12	100 grams / the molecular weight of a substance expressed in grams; the basic unit of amount of substance adopted under the Systeme International d'Unites / the quantity of an element whose weight in grams is numerically equal to the atomic weight of the element
13	100 grams / the molecular weight of a substance expressed in grams; the basic unit of amount of substance adopted under the Systeme International d'Unites / the quantity of an element whose weight in grams is numerically equal to the atomic weight of the element
14	a relatively small granular particle of a substance / a small discrete mass of solid or liquid matter that remains individually dispersed in gas or liquid emissions (usually considered to be an atmospheric pollutant) / a small piece
15	10 grams / 100 grams / one thousand grams; the basic unit of mass adopted under the Systeme International d'Unites
16	hard close-grained wood of any of various birch trees; used especially in furniture and interior finishes and plywood / the hard fibrous lignified substance under the bark of trees / wood of a yew; especially the durable fine-grained light brown or red wood of the English yew valued for cabinetwork and archery bows
17	a fine usually white clay formed by the weathering of aluminous minerals (as feldspar); used in ceramics and as an absorbent and as a filler (e.g., in paper) / soft light-colored wood of any of various linden trees; used in making crates and boxes and in carving and millwork / wood of a yew; especially the durable fine-grained light brown or red wood of the English yew valued for cabinetwork and archery bows
18	a block of solid substance (such as soap or wax) / a relatively small granular particle of a substance / a small discrete mass of solid or liquid matter that remains individually dispersed in gas or liquid emissions (usually considered to be an atmospheric pollutant)
19	closely related to southern arrow wood; grows in the eastern United States from Maine to Ohio and Georgia / columnar swamp tree of southeastern to midwestern North America yielding pale soft easily worked wood / very small deciduous dioecious tree or shrub of damp habitats in southeastern United States having extremely light wood
20	a simple protein found in the seeds of cereals / coarse small-seeded pea often used as food when young and tender / the most highly proteinaceous vegetable known; the fruit of the soybean plant is used in a variety of foods and as fodder (especially as a replacement for animal protein)
21	a protein substance that remains when starch is removed from cereal grains; gives cohesiveness to dough / flour or meal or grain used in baking bread / grain ground into flour
22	(geology) the matrix of fine-grained crystalline material in which larger crystals are embedded / (mineralogy) a small rounded lump of mineral substance (usually harder than the surrounding rock or sediment) / loose material (stone fragments and silt etc) that is worn away from rocks
23	a protein substance that remains when starch is removed from cereal grains; gives cohesiveness to dough / grain ground into flour / round flat seed of the lentil plant used for food
24	a growing crop that is plowed under to enrich soil / corn grown primarily for animal feed or market grain / grain grown for cattle feed
25	a fundamental principle or practice / a rule or standard especially of good behavior / a system of rules of conduct or method of practice
26	a simple protein found in the seeds of cereals / the dried grains or kernels or corn used as animal feed or ground for meal / wheat with hard dark-colored kernels high in gluten and used for bread and pasta; grown especially in southern Russia, North Africa, and northern central North America
27	a rare silvery (usually trivalent) metallic element; brittle at low temperatures but liquid above room temperature; occurs in trace amounts in bauxite and zinc ores / a relatively small granular particle of a substance / consisting of fine particles
28	stone that occurs naturally in fields; often used as building material / tall North American reed having relative wide leaves and large plumelike panicles; widely distributed in moist areas; used for mats, screens and arrow shafts / the hard fibrous lignified substance under the bark of trees
29	a framework of metal bars used as a partition or a grate / an architectural partition with a height and length greater than its thickness; used to divide or enclose an area or to support another structure / the lowest molding of an architectural base or of a baseboard
30	a perceptual structure / as an important constituent / the pervading meaning or tenor
31	a fine usually white clay formed by the weathering of aluminous minerals (as feldspar); used in ceramics and as an absorbent and as a filler (e.g., in paper) / a very fine-grained soil that is plastic when moist but hard when fired / the hard fibrous lignified substance under the bark of trees
32	a microscopic particle of triglycerides produced in the intestines during digestion; in the bloodstream they release their fatty acids into the blood / a protein containing 20% iron that is found in the intestines and liver and spleen; it is one of the chief forms in which iron is stored in the body / a semiliquid mass of partially digested food that passes from the stomach through the pyloric sphincter into the duodenum
